backend	run	profile	status	counted_syscalls	wall_elapsed_ns	wall_ns_per_count	platform_switch_ns	switch_ns_per_count	command
systrap	1	opt	0	100001	854754954	8547.464065359347	840940101	8409.316916830832	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=systrap --syscalls=100000 --runs=1
kvm	1	opt	0	100001	704022547	7040.155068449316	93064484	930.6355336446636	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=kvm --syscalls=100000 --runs=1
reverie	1	debug	0	100002	3304886489	33048.20392592148			taskset -c 111 /home/newton/work/dev-hermit/reverie/target/debug/counter2 /tmp/gvisor-platform-counter-evidence-final-1784988068757137151/getpid_loop
kvm	2	opt	0	100001	316140049	3161.368876311237	93823041	938.2210277897221	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=kvm --syscalls=100000 --runs=1
reverie	2	debug	0	100002	3265947103	32658.817853642926			taskset -c 111 /home/newton/work/dev-hermit/reverie/target/debug/counter2 /tmp/gvisor-platform-counter-evidence-final-1784988068757137151/getpid_loop
systrap	2	opt	0	100001	824120932	8241.126908730912	807978619	8079.705392946071	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=systrap --syscalls=100000 --runs=1
reverie	3	debug	0	100002	3382521837	33824.54187916242			taskset -c 111 /home/newton/work/dev-hermit/reverie/target/debug/counter2 /tmp/gvisor-platform-counter-evidence-final-1784988068757137151/getpid_loop
systrap	3	opt	0	100001	834370894	8343.625503744963	821488300	8214.80085199148	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=systrap --syscalls=100000 --runs=1
kvm	3	opt	0	100001	174423610	1744.218657813422	96401083	964.0011899881001	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=kvm --syscalls=100000 --runs=1
systrap	4	opt	0	100001	838799912	8387.915240847591	826739882	8267.316146838531	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=systrap --syscalls=100000 --runs=1
kvm	4	opt	0	100001	168336594	1683.349106508935	93133511	931.3257967420326	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=kvm --syscalls=100000 --runs=1
reverie	4	debug	0	100002	3311500428	33114.34199316014			taskset -c 111 /home/newton/work/dev-hermit/reverie/target/debug/counter2 /tmp/gvisor-platform-counter-evidence-final-1784988068757137151/getpid_loop
kvm	5	opt	0	100001	417603854	4175.996780032199	98254866	982.5388346116539	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=kvm --syscalls=100000 --runs=1
reverie	5	debug	0	100002	3378959129	33788.91551168977			taskset -c 111 /home/newton/work/dev-hermit/reverie/target/debug/counter2 /tmp/gvisor-platform-counter-evidence-final-1784988068757137151/getpid_loop
systrap	5	opt	0	100001	838128817	8381.20435795642	820450080	8204.418755812441	taskset -c 111 /home/newton/.cache/bazel/_bazel_newton/27cf56145fa90856f08ddbc242651a20/execroot/_main/bazel-out/k8-opt/bin/pkg/sentry/platform/counter/counter_/counter --backend=systrap --syscalls=100000 --runs=1
