workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
echo	application	ptrace	1	67445825	2394000	50174000	319	161	0	0
echo	application	kvm	1	118080963	2913000	16254000	12	8	0	0
ls-64	application	ptrace	1	119211191	3743000	80322000	551	265	0	0
ls-64	application	kvm	1	169404121	6845000	14102000	14	14	0	0
true	application	ptrace	1	116846506	3689000	44008000	293	137	0	0
true	application	kvm	1	66835452	1103000	15951000	14	6	0	0
pwd	application	ptrace	1	66810974	2141000	50164000	320	157	0	0
pwd	application	kvm	1	167260490	4656000	12759000	12	12	0	0
seq-10	application	ptrace	1	69779824	299000	52704000	318	152	0	0
seq-10	application	kvm	1	168355506	3730000	25269000	13	3	0	0
head-readme	application	ptrace	1	67319544	1461000	53911000	341	167	0	0
head-readme	application	kvm	1	118557543	1923000	15649000	12	16	0	0
base64-readme	application	ptrace	1	317702630	3134000	203123000	373	814	0	0
base64-readme	application	kvm	1	167614564	3649000	14874000	16	3	0	0
id-u	application	ptrace	1	120348240	6990000	70291000	451	234	0	0
id-u	application	kvm	1	67594419	2127000	18794000	13	2	0	0
printf	application	ptrace	1	67186803	2047000	52971000	326	156	0	0
printf	application	kvm	1	66715191	4040000	13354000	14	3	0	0
cat-stream	throughput	ptrace	1	217445126	7344000	191766000	1374	679	0	16777216
cat-stream	throughput	kvm	1	169835984	8894000	20475000	13	4	0	16777216
syscall-baseline	microbaseline	ptrace	1	70008449	2376000	47896000	289	145	0	0
syscall-baseline	microbaseline	kvm	1	172640133	2695000	14116000	13	14	0	0
syscall-loop	syscall	ptrace	1	5839620304	38182000	5497733000	40480	20290	10000	0
syscall-loop	syscall	kvm	1	217798401	79032000	82099000	13	6	10000	0
pipe-baseline	microbaseline	ptrace	1	67665656	3210000	48354000	310	150	0	0
pipe-baseline	microbaseline	kvm	1	68322110	4196000	14424000	14	2	0	0
pipe-roundtrip	boundary	ptrace	1	1222036749	13008000	1143263000	8339	4163	2000	0
pipe-roundtrip	boundary	kvm	1	167362844	54458000	34781000	12	1	2000	0
echo	application	kvm	2	167328302	1925000	15740000	13	4	0	0
echo	application	ptrace	2	66980311	2708000	50466000	317	153	0	0
ls-64	application	kvm	2	66601889	6971000	12337000	13	3	0	0
ls-64	application	ptrace	2	126974920	1890000	84454000	550	265	0	0
true	application	kvm	2	122840609	3071000	16092000	13	2	0	0
true	application	ptrace	2	66902613	4326000	45026000	291	138	0	0
pwd	application	kvm	2	118768112	4133000	17870000	13	4	0	0
pwd	application	ptrace	2	67029926	3797000	49100000	321	157	0	0
seq-10	application	kvm	2	167144694	2021000	14259000	15	6	0	0
seq-10	application	ptrace	2	66608478	2059000	50209000	322	153	0	0
head-readme	application	kvm	2	167395303	0	16823000	13	3	0	0
head-readme	application	ptrace	2	67361758	1173000	53807000	342	167	0	0
base64-readme	application	kvm	2	267392975	4157000	12459000	13	3	0	0
base64-readme	application	ptrace	2	66602350	2317000	56805000	366	176	0	0
id-u	application	kvm	2	117578793	6037000	13060000	14	7	0	0
id-u	application	ptrace	2	117190176	4925000	65656000	449	220	0	0
printf	application	kvm	2	120396794	2057000	16643000	13	4	0	0
printf	application	ptrace	2	66647308	4807000	47554000	320	155	0	0
cat-stream	throughput	kvm	2	116556808	10169000	15913000	13	3	0	16777216
cat-stream	throughput	ptrace	2	217343753	4269000	193941000	1373	679	0	16777216
syscall-baseline	microbaseline	kvm	2	116030863	1932000	12989000	14	3	0	0
syscall-baseline	microbaseline	ptrace	2	66342778	851000	46959000	291	137	0	0
syscall-loop	syscall	kvm	2	217321660	87805000	66578000	13	5	10000	0
syscall-loop	syscall	ptrace	2	5693600910	42655000	5409738000	40429	20189	10000	0
pipe-baseline	microbaseline	kvm	2	66852357	1011000	17039000	14	6	0	0
pipe-baseline	microbaseline	ptrace	2	66655110	1377000	47314000	312	149	0	0
pipe-roundtrip	boundary	kvm	2	167304976	51356000	33032000	12	12	2000	0
pipe-roundtrip	boundary	ptrace	2	1170401970	20187000	1101225000	8330	4172	2000	0
