workload	category	backend	samples	median_ms	p95_ms	mean_ms	stddev_ms	median_user_cpu_ms	median_system_cpu_ms	median_context_switches
base64-readme	application	kvm	15	116.448934	267.632518	126.88732159999999	66.26994021859365	3.216	14.874	17
base64-readme	application	ptrace	15	66.762592	317.70263	103.6235114	69.63793541682969	3.365	55.611	543
cat-stream	throughput	kvm	15	117.379481	266.632484	144.03638866666665	56.2931024888491	8.894	17.098	17
cat-stream	throughput	ptrace	15	217.343753	467.5828	240.592648	65.1723854405798	4.066	191.287	2053
echo	application	kvm	15	117.010823	167.328302	113.83730526666666	29.793584303683254	3.396	13.533	17
echo	application	ptrace	15	67.104128	170.810647	73.997847	26.786556345653885	2.708	50.174	475
head-readme	application	kvm	15	116.855058	216.565936	116.95120326666667	37.81385631326132	3.082	14.237	17
head-readme	application	ptrace	15	66.673417	117.031475	73.3699496	17.655804730238337	3.626	51.58	508
id-u	application	kvm	15	116.687795	266.969533	120.2688094	58.03962582364947	3.998	14.974	17
id-u	application	ptrace	15	116.919926	217.095837	127.2992904	27.92317963035126	3.052	66.768	670
ls-64	application	kvm	15	116.521875	317.380522	117.20051513333333	65.7003688092398	5.153	15.055	16
ls-64	application	ptrace	15	117.178717	216.87357	124.85651966666667	25.6014725838123	2.647	81.373	815
pipe-baseline	microbaseline	kvm	15	116.750741	219.667736	110.552543	42.043019189520145	2.18	15.649	17
pipe-baseline	microbaseline	ptrace	15	67.327705	167.288992	77.00921633333333	28.098850534311495	3.009	48.354	460
pipe-roundtrip	boundary	kvm	15	167.362844	418.416023	207.35288386666667	91.38824504104564	54.458	29.919	18
pipe-roundtrip	boundary	ptrace	15	1219.769925	2527.140279	1374.5949281333333	412.2106273882676	17.209	1122.772	12497
printf	application	kvm	15	116.444448	269.850019	117.42576493333333	57.23407558308628	2.645	14.658	17
printf	application	ptrace	15	66.797063	116.864733	73.4501614	16.927528465671426	3.049	48.462	476
pwd	application	kvm	15	116.913377	167.26049	110.52732693333334	26.051966918207007	2.964	13.748	18
pwd	application	ptrace	15	66.810974	116.876621	70.28649873333333	12.900381428720832	2.262	50.748	483
seq-10	application	kvm	15	116.928179	417.16399	140.479204	88.51258122510956	3.038	14.34	17
seq-10	application	ptrace	15	66.792517	117.958407	73.67737626666667	17.768497683874322	2.019	50.97	475
syscall-baseline	microbaseline	kvm	15	117.107941	224.494485	118.07988246666666	44.078716632250824	2.639	14.116	17
syscall-baseline	microbaseline	ptrace	15	67.037577	167.011662	80.360406	35.130332808668385	2.376	46.939	428
syscall-loop	syscall	kvm	15	217.798401	819.117431	267.82788086666665	155.0475559344993	84.203	67.27	18
syscall-loop	syscall	ptrace	15	5693.60091	11084.974669	6367.762469866667	1752.6064821320392	39.055	5409.738	60572
true	application	kvm	15	116.740475	266.608418	123.8995742	62.34189079227932	2.827	14.251	17
true	application	ptrace	15	66.987872	116.846506	73.99749146666667	17.421843688529595	2.94	45.455	428
