program	record_success	replay_success	output_match	exit_match	record_exit	replay_exit	event_streams	event_bytes	stdout_sha256	stderr_sha256	command
echo	pass	pass	pass	pass	0	0	1	4088253	c45d985ef5ad43dc032d951fabcf0a85192654b92e4d8a24a8d397136be03642	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/usr/bin/echo record-replay-matrix
ls	pass	pass	pass	pass	0	0	1	5756308	e2858b44009de9b3fb0af3a880b48f2cf93ad0e851ad08f8d2cdcedc35c79d93	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/usr/bin/ls -1 /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/tree
cat	pass	pass	pass	pass	0	0	1	4088507	e87aacbb5ccd77fc623bb7f5a3e3a93e4949d1239b8f603c2d7ce01861e0b010	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/usr/bin/cat /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/input.txt
grep	pass	pass	pass	pass	0	0	1	5358759	c5aa0ba25fce8abf03193b5afc355c4c651ea6c72b4278d4927b10fe4bbd7740	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/usr/bin/grep beta /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/input.txt
find	pass	fail	fail	fail	0	1	1	5686598	-	-	/usr/bin/find /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/tree -type f -print
sort	pass	pass	pass	pass	0	0	1	15455895	833940e53452e86ad3cf12deb4054606301b43cec7607677dab4625777c7cee3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/usr/bin/sort /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/unsorted.txt
wc	pass	pass	pass	pass	0	0	1	4088355	2b4638fbf252c8e6f93d35cfd73f5e34e7c421843521c97a2e973b5b812502fb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/usr/bin/wc -l /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/input.txt
python3	fail	fail	fail	fail	124	not_run	0	0	-	-	/usr/local/bin/python3 -c print\(sum\(value\ \*\ value\ for\ value\ in\ range\(10\)\)\)
gcc	fail	fail	fail	fail	124	not_run	0	0	-	-	/usr/bin/gcc -c -O0 /home/newton/work/dev-hermit/worktrees/slot03/hermit/experiments/record-replay-matrix_20260721/fixtures/compile_input.c -o /dev/null
pthread_create	fail	fail	pass	pass	134	134	5	4088069	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	98375c7dc453461ab334a9e647258659052bea0efe6cdede2f3343d605490da9	/home/newton/work/dev-hermit/worktrees/slot03/hermit/target/record-replay-matrix/pthread_create
producer_consumer	fail	fail	pass	pass	134	134	3	4088069	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	98375c7dc453461ab334a9e647258659052bea0efe6cdede2f3343d605490da9	/home/newton/work/dev-hermit/worktrees/slot03/hermit/target/record-replay-matrix/producer_consumer
